,AvgNetFare
2018-12-20,4064.696356275304
2018-12-21,3915.1371841155233
2018-12-22,4146.38829787234
2018-12-23,4094.978947368421
2018-12-24,3901.463320463321
2018-12-25,3934.444444444444
2018-12-26,3981.971428571429
2018-12-27,3902.135802469136
2018-12-28,3954.706790123457
2018-12-29,3805.2769953051643
2018-12-30,4153.541666666667
2018-12-31,3923.823943661972
2019-01-01,4329.142857142857
2019-01-02,4165.597938144329
2019-01-03,4258.875886524823
2019-01-04,4103.003225806452
2019-01-05,4228.069767441861
2019-01-06,4113.259842519685
2019-01-07,4142.826203208556
2019-01-08,3877.1464088397793
2019-01-09,3524.1048636363635
2019-01-10,3729.481366459627
2019-01-11,3453.3248730964465
2019-01-12,3637.807407407408
2019-01-13,3464.4077669902917
2019-01-14,4029.7073954983916
2019-01-15,4007.5478260869563
2019-01-16,3771.239583333334
2019-01-17,3839.2213930348253
2019-01-18,3791.0509708737854
2019-01-19,3414.2259136212624
2019-01-20,3413.467105263158
2019-01-21,3826.598086124402
2019-01-22,3679.9861431870672
2019-01-23,3946.9102167182655
2019-01-24,3893.4934210526317
2019-01-25,3654.386473429952
2019-01-26,3127.327485380117
2019-01-27,3709.8776978417272
2019-01-28,3637.876623376623
2019-01-29,3754.592941176471
2019-01-30,3748.400473933649
2019-01-31,3799.054347826087
2019-02-01,3974.562189054727
2019-02-02,3450.544270833333
2019-02-03,3325.4926829268293
2019-02-04,3694.7870036101094
2019-02-05,3521.1130434782613
2019-02-06,3679.199481865285
2019-02-07,3501.466542750929
2019-02-08,3670.854736842106
2019-02-09,3653.2724252491694
2019-02-10,3588.0
2019-02-11,3336.682108626198
2019-02-12,3801.884826325411
2019-02-13,3623.427947598254
2019-02-14,3595.257653061225
2019-02-15,3839.217391304348
2019-02-16,3914.9589552238813
2019-02-17,3357.417322834646
2019-02-18,3773.756147540984
2019-02-19,3844.301136363637
2019-02-20,3840.193763919822
2019-02-21,3788.600806451613
2019-02-22,3662.510588235294
2019-02-23,3594.235732009925
2019-02-24,3451.404761904762
2019-02-25,4180.804938271605
2019-02-26,3826.4340344168263
2019-02-27,4005.043010752688
2019-02-28,3850.8520286396174
2019-03-01,3933.884765625
2019-03-02,3712.473180076629
2019-03-03,3800.1940928270037
2019-03-04,3853.933747412008
2019-03-05,4014.024948024948
2019-03-06,3976.9028436018957
2019-03-07,3737.4227799227797
2019-03-08,4089.7115839243493
2019-03-09,3838.9084745762707
2019-03-10,3443.223463687151
2019-03-11,3880.565819861432
2019-03-12,3957.569974554707
2019-03-13,3837.0131826742
2019-03-14,3847.095890410959
2019-03-15,3922.574525745257
2019-03-16,3737.237154150198
2019-03-17,3847.769230769231
2019-03-18,3634.2890025575452
2019-03-19,3924.085653104925
2019-03-20,3702.782868525896
2019-03-21,3761.204188481675
2019-03-22,4169.679435483871
2019-03-23,4002.1190476190477
2019-03-24,3450.29375
2019-03-25,3732.4031007751937
2019-03-26,4380.112087912088
2019-03-27,3900.2608695652175
2019-03-28,3756.3394077448743
2019-03-29,3987.273137697517
2019-03-30,4184.196428571428
2019-03-31,3711.714285714286
2019-04-01,3965.1848341232235
2019-04-02,4206.309701492537
2019-04-03,3893.546777546777
2019-04-04,3902.2801635991823
2019-04-05,3985.0420168067226
2019-04-06,4220.8884892086335
2019-04-07,3527.984042553192
2019-04-08,3924.370292887029
2019-04-09,4087.954653937948
2019-04-10,3753.5456066945612
2019-04-11,3924.9323529411763
2019-04-12,4220.576271186441
2019-04-13,4707.892857142857
2019-04-14,4887.681818181818
2019-04-15,4524.535353535352
2019-04-16,4838.923076923077
2019-04-17,4472.729166666667
2019-04-18,4450.411764705882
2019-04-19,4362.258064516129
2019-04-20,4818.571428571428
2019-04-21,4711.153846153846
2019-04-22,4546.3650793650795
2019-04-23,4576.069444444444
2019-04-24,4528.229166666667
2019-04-25,4822.459770114942
2019-04-26,4840.571428571428
2019-04-27,4608.210526315789
2019-04-28,4608.210526315789
2019-04-29,4484.090909090909
2019-04-30,4236.670588235294
2019-05-01,4225.4435318275155
2019-05-02,4140.408450704225
2019-05-03,3975.373925501433
2019-05-04,3733.770833333334
2019-05-05,3906.203208556149
2019-05-06,3779.021834061136
2019-05-07,3918.631782945737
2019-05-08,4039.2262996941895
2019-05-09,4008.190972222222
2019-05-10,4003.494444444445
2019-05-11,3691.6296296296296
2019-05-12,3812.8818565400843
2019-05-13,3982.771595900439
2019-05-14,3961.3488805970146
2019-05-15,3803.648648648649
2019-05-16,3730.014586709887
2019-05-17,4020.0584307178633
2019-05-18,4068.519230769231
2019-05-19,3837.275
2019-05-20,3835.232520325203
2019-05-21,4096.385057471264
2019-05-22,3755.1465677179963
2019-05-23,3808.0108695652175
2019-05-24,3841.0982318271117
2019-05-25,3710.733333333333
2019-05-26,3439.6449275362324
2019-05-27,3712.95991983968
2019-05-28,3826.4138486312395
2019-05-29,3685.572854291417
2019-05-30,3489.494117647059
2019-05-31,3487.0303643724696
2019-06-01,3460.3166332665332
2019-06-02,3768.116279069768
2019-06-03,3633.8772213247166
2019-06-04,3662.317567567568
2019-06-05,3437.5148148148146
2019-06-06,3659.568144499179
2019-06-07,3563.161904761905
2019-06-08,3426.7086419753086
2019-06-09,3414.0243902439024
2019-06-10,3491.7262479871165
2019-06-11,3372.8771915980137
2019-06-12,3324.852335640507
2019-06-13,3358.170956015836
2019-06-14,3574.1169329951995
2019-06-15,3305.8119002486383
2019-06-16,3256.9042333847883
2019-06-17,3222.134651204916
2019-06-18,3297.7287649881996
2019-06-19,3064.8805288197414
2019-06-20,3064.7979024189467
2019-06-21,3082.6662376971367
2019-06-22,3154.17953808118
2019-06-23,3029.745963680021
2019-06-24,2897.15228798324
2019-06-25,2873.086665073143
2019-06-26,3224.2137893943814
2019-06-27,2938.7187163320564
2019-06-28,2929.1077323535974
2019-06-29,2820.7143293253107
2019-06-30,2937.17837311218
2019-07-01,2743.813653238788
2019-07-02,2726.579556214143
2019-07-03,2741.022359923408
2019-07-04,2776.5216097963817
2019-07-05,2628.8837209512803
2019-07-06,2472.2319335638977
2019-07-07,2470.5292041385705
2019-07-08,2855.0027626638002
2019-07-09,2502.4103146935877
2019-07-10,2519.382730081196
