InvoiceDate,AvgNetFare,TotalNetFare
2019-01-14,4029.707395498392,1253239.0
2019-01-15,4007.5478260869563,1382604.0
2019-01-16,3771.2395833333335,1448156.0
2019-01-17,3839.2213930348257,1543367.0
2019-01-18,3791.0509708737864,1561913.0
2019-01-19,3414.2259136212624,1027682.0
2019-01-20,3413.467105263158,518847.0
2019-01-21,3826.598086124402,1599518.0
2019-01-22,3679.986143187067,1593434.0
2019-01-23,3946.9102167182664,1274852.0
2019-01-24,3893.4934210526317,1183622.0
2019-01-25,3654.386473429952,1512916.0
2019-01-26,3127.3274853801167,534773.0
2019-01-27,3709.877697841727,515673.0
2019-01-28,3637.8766233766232,1680699.0
2019-01-29,3754.5929411764705,1595702.0
2019-01-30,3748.400473933649,1581825.0
2019-01-31,3799.054347826087,1747565.0
2019-02-01,3974.5621890547263,1597774.0
2019-02-02,3450.5442708333335,1325009.0
2019-02-03,3325.4926829268293,681726.0
2019-02-04,3694.7870036101085,2046912.0
2019-02-05,3521.113043478261,1619712.0
2019-02-06,3679.199481865285,1420171.0
2019-02-07,3501.4665427509294,1883789.0
2019-02-08,3670.8547368421055,1743656.0
2019-02-09,3653.2724252491694,1099635.0
2019-02-10,3588.0,749892.0
2019-02-11,3336.682108626198,2088763.0
2019-02-12,3801.8848263254113,2079631.0
2019-02-13,3623.4279475982535,1659530.0
2019-02-14,3595.2576530612246,1409341.0
2019-02-15,3839.217391304348,1236228.0
2019-02-16,3914.958955223881,1049209.0
2019-02-17,3357.417322834646,426392.0
2019-02-18,3773.7561475409834,1841593.0
2019-02-19,3844.3011363636365,1353194.0
2019-02-20,3840.193763919822,1724247.0
2019-02-21,3788.6008064516127,1879146.0
2019-02-22,3662.510588235294,1556567.0
2019-02-23,3594.2357320099254,1448477.0
2019-02-24,3451.404761904762,579836.0
2019-02-25,4180.804938271605,1693226.0
2019-02-26,3826.434034416826,2001225.0
2019-02-27,4005.043010752688,1862345.0
2019-02-28,3850.8520286396183,1613507.0
2019-03-01,3933.884765625,2014149.0
2019-03-02,3712.4731800766285,1937911.0
2019-03-03,3800.194092827004,900646.0
2019-03-04,3853.9337474120084,1861450.0
2019-03-05,4014.024948024948,1930746.0
2019-03-06,3976.9028436018957,1678253.0
2019-03-07,3737.42277992278,1935985.0
2019-03-08,4089.7115839243497,1729948.0
2019-03-09,3838.908474576271,1132478.0
2019-03-10,3443.223463687151,616337.0
2019-03-11,3880.565819861432,1680285.0
2019-03-12,3957.569974554707,1555325.0
2019-03-13,3837.0131826741995,2037454.0
2019-03-14,3847.095890410959,1404190.0
2019-03-15,3922.5745257452572,1447430.0
2019-03-16,3737.2371541501975,945521.0
2019-03-17,3847.769230769231,800336.0
2019-03-18,3634.289002557545,1421007.0
2019-03-19,3924.085653104925,1832548.0
2019-03-20,3702.7828685258964,1858797.0
2019-03-21,3761.2041884816754,718390.0
2019-03-22,4169.679435483871,2068161.0
2019-03-23,4002.1190476190477,1008534.0
2019-03-24,3450.29375,552047.0
2019-03-25,3732.4031007751937,1925920.0
2019-03-26,4380.112087912088,1992951.0
2019-03-27,3900.2608695652175,1794120.0
2019-03-28,3756.3394077448747,1649033.0
2019-03-29,3987.273137697517,1766362.0
2019-03-30,4184.196428571428,1171575.0
2019-03-31,3711.714285714286,597586.0
2019-04-01,3965.1848341232226,1673308.0
2019-04-02,4206.309701492537,2254582.0
2019-04-03,3893.5467775467773,1872796.0
2019-04-04,3902.280163599182,1908215.0
2019-04-05,3985.0420168067226,1896880.0
2019-04-06,4220.8884892086335,1173407.0
2019-04-07,3527.9840425531916,663261.0
2019-04-08,3924.3702928870293,1875849.0
2019-04-09,4087.9546539379476,1712853.0
2019-04-10,3753.545606694561,1794194.8
2019-04-11,3924.9323529411763,1334477.0
2019-04-12,4220.576271186441,249014.0
2019-04-13,4707.892857142857,131821.0
2019-04-14,4887.681818181818,107529.0
2019-04-15,4524.535353535353,447929.0
2019-04-16,4838.923076923077,503248.0
2019-04-17,4472.729166666667,214691.0
2019-04-18,4450.411764705882,302628.0
2019-04-19,4362.258064516129,270460.0
2019-04-20,4818.571428571428,202380.0
2019-04-21,4711.153846153846,61245.0
2019-04-22,4546.3650793650795,286421.0
2019-04-23,4576.069444444444,329477.0
2019-04-24,4528.229166666667,217355.0
2019-04-25,4822.459770114942,419554.0
2019-04-26,4840.571428571428,406608.0
2019-04-27,4608.210526315789,350224.0
2019-04-28,4608.210526315789,0.0
2019-04-29,4484.090909090909,246625.0
2019-04-30,4236.670588235294,360117.0
2019-05-01,4225.4435318275155,2057791.0
2019-05-02,4140.408450704225,2057783.0
2019-05-03,3975.3739255014325,2774811.0
2019-05-04,3733.7708333333335,1433768.0
2019-05-05,3906.2032085561495,730460.0
2019-05-06,3779.0218340611355,2596188.0
2019-05-07,3918.6317829457366,2022014.0
2019-05-08,4039.2262996941895,2641654.0
2019-05-09,4008.190972222222,2308718.0
2019-05-10,4003.4944444444445,2161887.0
2019-05-11,3691.6296296296296,1794132.0
2019-05-12,3812.8818565400843,903653.0
2019-05-13,3982.771595900439,2720233.0
2019-05-14,3961.348880597015,2123283.0
2019-05-15,3803.6486486486488,2673965.0
2019-05-16,3730.0145867098868,2301419.0
2019-05-17,4020.0584307178633,2408015.0
2019-05-18,4068.519230769231,1480941.0
2019-05-19,3837.275,920946.0
2019-05-20,3835.232520325203,2358668.0
2019-05-21,4096.385057471264,2138313.0
2019-05-22,3755.1465677179963,2024024.0
2019-05-23,3808.0108695652175,2102022.0
2019-05-24,3841.098231827112,1955119.0
2019-05-25,3710.733333333333,1391525.0
2019-05-26,3439.644927536232,474671.0
2019-05-27,3712.9599198396795,1852767.0
2019-05-28,3826.41384863124,2376203.0
2019-05-29,3685.572854291417,1846472.0
2019-05-30,3489.494117647059,2076249.0
2019-05-31,3487.0303643724696,1722593.0
2019-06-01,3460.3166332665332,1726698.0
2019-06-02,3768.1162790697676,648116.0
2019-06-03,3633.877221324717,2249370.0
2019-06-04,3662.3175675675675,2168092.0
2019-06-05,3437.5148148148146,1856258.0
2019-06-06,3659.568144499179,2228677.0
2019-06-07,3563.1619047619047,2244792.0
2019-06-08,3426.7086419753086,1387817.0
2019-06-09,3414.0243902439024,559900.0
2019-06-10,3491.7262479871174,2168362.0
